                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.2548,                  1.145,                 1.0901,                0.78882,                0.77621,                 0.8512,                0.52633,                 1.3303,                 1.2518,                 1.1233,             0.00093238,             0.00093238,             0.00093238
                     79,                  1.214,                 1.1205,                 1.0646,                0.81009,                0.82197,                 0.8671,                0.51542,                 1.3666,                 1.1985,                 1.1441,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.2372,                 1.1655,                 1.0698,                0.85329,                0.73603,                0.85201,                0.46747,                 1.4837,                 1.1447,                  1.177,             0.00092413,             0.00092413,             0.00092413
                     81,                 1.1816,                 1.0939,                 1.0655,                0.89735,                0.74299,                0.86276,                0.50098,                 1.4507,                 1.0877,                 1.1296,                0.00092,                0.00092,                0.00092
                     82,                 1.1663,                 1.0662,                 1.0582,                0.82584,                0.76648,                0.87201,                0.54399,                 1.3308,                 1.0583,                 1.1012,             0.00091588,             0.00091588,             0.00091588
                     83,                 1.1869,                 1.0805,                 1.0444,                0.88559,                0.73241,                0.85716,                0.52412,                 1.3654,                 1.0812,                 1.1007,             0.00091175,             0.00091175,             0.00091175
                     84,                 1.1914,                 1.0442,                 1.0432,                0.80751,                0.75956,                0.84709,                0.52238,                 1.4405,                 1.0963,                 1.1543,             0.00090763,             0.00090763,             0.00090763
                     85,                 1.2158,                 1.0921,                 1.0436,                0.77558,                0.81467,                0.84662,                0.53178,                  1.394,                 1.0933,                 1.1153,              0.0009035,              0.0009035,              0.0009035
                     86,                  1.206,                  1.104,                 1.0703,                0.89889,                0.74121,                0.85082,                0.53522,                 1.3595,                 1.0933,                 1.1273,             0.00089938,             0.00089938,             0.00089938
                     87,                 1.1671,                  1.065,                 1.0555,                 0.8417,                0.77637,                0.85656,                0.54486,                 1.3567,                  1.118,                 1.1271,             0.00089525,             0.00089525,             0.00089525
                     88,                 1.1633,                 1.0835,                 1.0415,                0.82827,                0.80468,                0.87236,                0.55494,                 1.3564,                 1.0478,                 1.0913,             0.00089112,             0.00089112,             0.00089112
                     89,                 1.2072,                 1.0721,                 1.0538,                0.88245,                0.80921,                0.89466,                0.56159,                 1.3315,                0.96054,                 1.0838,               0.000887,               0.000887,               0.000887
                     90,                  1.107,                 1.0203,                 1.0247,                0.79918,                0.85879,                0.88358,                  0.562,                 1.3643,                0.99395,                  1.109,             0.00088288,             0.00088288,             0.00088288
                     91,                 1.1351,                 1.0425,                 1.0458,                0.70601,                 0.8545,                0.85671,                0.52612,                 1.4742,                 1.0772,                 1.1301,             0.00087875,             0.00087875,             0.00087875
                     92,                 1.2222,                 1.0693,                 1.0505,                0.79797,                0.79841,                0.86708,                0.52035,                 1.4522,                 1.0595,                 1.1205,             0.00087462,             0.00087462,             0.00087462
                     93,                 1.2475,                 1.1072,                 1.0525,                0.76111,                0.82248,                0.87453,                0.54379,                 1.3479,                 1.0695,                 1.1072,              0.0008705,              0.0008705,              0.0008705
                     94,                 1.2484,                 1.0887,                  1.066,                0.92688,                0.70479,                0.89475,                0.55086,                 1.3364,                 1.0844,                 1.0961,             0.00086637,             0.00086637,             0.00086637
                     95,                 1.2392,                 1.1061,                 1.0417,                0.85014,                 0.7201,                0.88208,                0.53913,                 1.3922,                 1.1124,                 1.0884,             0.00086225,             0.00086225,             0.00086225
                     96,                 1.2123,                 1.0986,                 1.0584,                0.78805,                0.80956,                0.84952,                0.50497,                 1.4599,                 1.2397,                 1.1229,             0.00085813,             0.00085813,             0.00085813
                     97,                 1.2206,                 1.0772,                 1.0453,                0.82155,                 0.7098,                0.83227,                0.50391,                 1.3889,                 1.2067,                 1.0853,               0.000854,               0.000854,               0.000854
                     98,                 1.1561,                 1.0014,                 1.0341,                0.76879,                0.73341,                0.81915,                0.52706,                 1.3207,                 1.1376,                 1.0654,             0.00084988,             0.00084988,             0.00084988
                     99,                 1.1709,                 1.0452,                 1.0398,                0.70853,                0.84501,                0.81596,                0.54543,                 1.2686,                 1.0763,                 1.0605,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.2215,                 1.0381,                 1.0376,                0.77939,                0.80092,                0.88701,                0.57639,                 1.3007,                 1.0727,                 1.1377,             0.00084162,             0.00084162,             0.00084162
                    101,                 1.1938,                 1.0408,                 1.0415,                0.80321,                 0.8076,                0.88474,                0.57391,                 1.3104,                  1.054,                 1.1281,              0.0008375,              0.0008375,              0.0008375
                    102,                 1.1864,                 1.0555,                  1.046,                 0.8754,                0.82322,                0.89068,                0.58464,                 1.2675,                0.98397,                 1.0857,             0.00083337,             0.00083337,             0.00083337
                    103,                 1.1696,                 1.0399,                 1.0108,                0.86879,                0.82255,                0.89553,                0.60025,                 1.2555,                 0.9616,                  1.068,             0.00082925,             0.00082925,             0.00082925
                    104,                 1.1528,                 1.0019,                 1.0193,                0.91193,                0.79967,                0.90787,                0.60907,                  1.292,                0.97078,                 1.0732,             0.00082513,             0.00082513,             0.00082513
                    105,                 1.1423,                 1.0286,                 1.0413,                0.87972,                0.81801,                0.90575,                0.59944,                 1.2972,                0.98101,                 1.0634,               0.000821,               0.000821,               0.000821
                    106,                  1.131,                0.98437,                 1.0154,                0.87585,                0.83744,                0.90764,                0.60701,                 1.2522,                0.99621,                 1.0489,             0.00081688,             0.00081688,             0.00081688
                    107,                 1.1036,                0.93341,                 1.0071,                0.87915,                0.81844,                0.90492,                0.59543,                 1.2672,                 1.0302,                 1.0661,             0.00081275,             0.00081275,             0.00081275
                    108,                 1.1273,                0.97085,                 1.0356,                0.84485,                0.84513,                0.91415,                0.57776,                 1.3367,                 1.0006,                 1.0909,             0.00080863,             0.00080863,             0.00080863
                    109,                 1.1473,                0.97446,                 1.0382,                0.83966,                 0.8916,                0.92189,                 0.5829,                 1.2941,                0.96902,                 1.0814,              0.0008045,              0.0008045,              0.0008045
                    110,                 1.1105,                0.95904,                 1.0228,                0.91429,                0.85286,                 0.9261,                0.58157,                 1.3063,                0.94861,                 1.0882,             0.00080038,             0.00080038,             0.00080038
                    111,                 1.1248,                0.98137,                  1.024,                0.86337,                0.86068,                0.91175,                0.57888,                 1.2778,                0.94836,                  1.099,             0.00079625,             0.00079625,             0.00079625
                    112,                 1.1356,                0.96873,                 1.0209,                0.79821,                0.79825,                0.84392,                0.56294,                 1.2894,                 1.0724,                 1.0869,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.1502,                 1.0405,                 1.0354,                0.83489,                0.77153,                0.82967,                0.54222,                 1.2702,                 1.1024,                 1.0997,               0.000788,               0.000788,               0.000788
                    114,                 1.1176,                0.93824,                 1.0178,                0.84532,                0.73872,                0.83798,                0.52702,                 1.2918,                 1.1412,                 1.1051,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.1286,                0.94381,                 1.0326,                0.89858,                0.73065,                0.83289,                 0.5312,                 1.2416,                 1.1201,                 1.0803,             0.00077975,             0.00077975,             0.00077975
                    116,                 1.0863,                 0.9789,                 1.0355,                0.83082,                0.86696,                0.89544,                0.59519,                 1.2802,                0.98189,                 1.0636,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.1191,                0.95868,                 1.0265,                 0.8878,                0.89195,                0.91347,                0.60981,                 1.2459,                0.93092,                 1.0717,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.1326,                0.97791,                 1.0207,                0.88482,                0.90382,                0.91977,                0.61657,                 1.2689,                0.91055,                 1.0673,             0.00076738,             0.00076738,             0.00076738
                    119,                 1.1554,                0.95475,                 1.0296,                0.88703,                0.89722,                0.92801,                0.59297,                 1.3476,                0.92043,                 1.0662,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.0939,                0.95134,                 1.0201,                0.88112,                0.86228,                0.93248,                0.60722,                 1.3092,                0.93686,                  1.081,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.0857,                0.94047,                  1.025,                0.90323,                0.89535,                0.93426,                0.61773,                 1.2307,                0.88062,                 1.0544,               0.000755,               0.000755,               0.000755
                    122,                 1.0973,                0.96039,                 1.0078,                0.87324,                0.89004,                0.92615,                0.61871,                 1.2266,                0.82403,                 1.0453,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.1205,                0.94533,                 1.0057,                0.89431,                0.91237,                0.92471,                0.61662,                 1.2382,                0.82282,                 1.0415,             0.00074675,             0.00074675,             0.00074675
                    124,                   1.12,                0.93969,                 1.0156,                0.84662,                0.84167,                0.89666,                0.54395,                  1.447,                0.93536,                 1.0764,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.1478,                0.94319,                 1.0288,                0.83103,                0.86933,                 0.8955,                0.55396,                 1.4017,                0.92568,                 1.0638,              0.0007385,              0.0007385,              0.0007385
                    126,                 1.0828,                0.94642,                 1.0072,                0.82387,                0.88083,                0.90481,                0.58319,                 1.2863,                0.87854,                 1.0427,             0.00073437,             0.00073437,             0.00073437
                    127,                  1.069,                0.94103,                 1.0031,                0.91888,                0.79715,                 0.9091,                 0.6058,                 1.2461,                0.88095,                  1.032,             0.00073025,             0.00073025,             0.00073025
                    128,                 1.1296,                0.95017,                0.99612,                0.85593,                0.83771,                0.90639,                0.56956,                 1.3504,                0.91064,                 1.0359,             0.00072612,             0.00072612,             0.00072612
                    129,                  1.072,                0.91427,                 1.0049,                0.82837,                0.84879,                0.90025,                0.55883,                 1.3703,                0.91082,                 1.0412,               0.000722,               0.000722,               0.000722
                    130,                 1.1032,                0.91652,                 1.0118,                0.81855,                0.88324,                0.91337,                0.58382,                 1.2726,                0.88491,                 1.0371,             0.00071788,             0.00071788,             0.00071788
                    131,                 1.0901,                0.93962,                  1.012,                0.86169,                0.87438,                0.91232,                0.60045,                  1.218,                0.83881,                 1.0422,             0.00071375,             0.00071375,             0.00071375
                    132,                 1.0933,                0.87974,                 1.0232,                0.82429,                0.90701,                0.92203,                0.60761,                  1.225,                0.85953,                 1.0542,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.0558,                0.87591,                 0.9897,                0.79295,                0.91208,                0.91029,                0.58609,                  1.275,                0.89422,                 1.0441,              0.0007055,              0.0007055,              0.0007055
                    134,                 1.1503,                0.95837,                   1.04,                0.83393,                0.87055,                0.91034,                0.58428,                 1.2933,                0.89361,                 1.0416,             0.00070137,             0.00070137,             0.00070137
                    135,                 1.0476,                0.88079,                0.99419,                0.88268,                0.87569,                0.92407,                0.60503,                   1.22,                0.84671,                 1.0441,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.0201,                0.86779,                0.98124,                0.89171,                0.86701,                0.93967,                0.61601,                 1.2114,                0.85118,                 1.0437,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.0502,                0.87772,                0.99038,                0.91699,                0.90417,                0.94945,                0.61019,                 1.2649,                0.85648,                 1.0555,               0.000689,               0.000689,               0.000689
                    138,                 1.0475,                0.90204,                0.99375,                0.90159,                0.91496,                0.94735,                0.59884,                 1.3026,                0.84631,                 1.0535,             0.00068488,             0.00068488,             0.00068488
                    139,                 1.0417,                0.87701,                0.99463,                0.91413,                0.88065,                0.94938,                0.60544,                 1.2783,                0.81826,                  1.042,             0.00068075,             0.00068075,             0.00068075
                    140,                 1.0737,                0.87597,                0.99372,                0.88589,                0.89902,                0.94392,                0.61058,                 1.2923,                0.83351,                 1.0253,             0.00067663,             0.00067663,             0.00067663
                    141,                 1.0596,                0.87314,                0.98887,                0.83276,                0.90929,                0.91877,                0.58498,                 1.3573,                0.85538,                 1.0356,              0.0006725,              0.0006725,              0.0006725
