                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.3715,                 1.1378,                 1.2167,                0.80548,                0.75851,                0.89985,                0.68058,                 1.1957,                 1.0064,                  1.129,             0.00081403,             0.00081403,             0.00081403
                     83,                 1.3697,                 1.2106,                 1.1693,                0.80548,                0.75851,                0.89985,                0.68058,                 1.1957,                 1.0064,                  1.129,             0.00081036,             0.00081036,             0.00081036
                     84,                 1.3796,                 1.1067,                 1.1493,                0.83167,                0.73549,                0.89167,                0.66506,                 1.1988,                 1.0057,                 1.1105,              0.0008067,              0.0008067,              0.0008067
                     85,                 1.4261,                 1.1386,                 1.1348,                0.83167,                0.73549,                0.89167,                0.66506,                 1.1988,                 1.0057,                 1.1105,             0.00080303,             0.00080303,             0.00080303
                     86,                 1.3116,                 1.0464,                 1.1449,                0.78805,                0.75131,                0.87696,                0.63259,                 1.1903,                 1.0038,                 1.1123,             0.00079936,             0.00079936,             0.00079936
                     87,                  1.352,                 1.0858,                 1.1428,                0.78805,                0.75131,                0.87696,                0.63259,                 1.1903,                 1.0038,                 1.1123,              0.0007957,              0.0007957,              0.0007957
                     88,                 1.4827,                 1.0762,                 1.1474,                0.79199,                0.80316,                0.88603,                0.62377,                 1.2616,                 1.0147,                 1.1263,             0.00079203,             0.00079203,             0.00079203
                     89,                 1.4567,                 1.2454,                 1.1817,                0.79199,                0.80316,                0.88603,                0.62377,                 1.2616,                 1.0147,                 1.1263,             0.00078837,             0.00078837,             0.00078837
                     90,                 1.3673,                 1.1006,                 1.2069,                0.81307,                0.79082,                 0.8999,                0.63951,                 1.3132,                 1.0187,                 1.1524,              0.0007847,              0.0007847,              0.0007847
                     91,                 1.2802,                 1.0404,                 1.1349,                0.81307,                0.79082,                 0.8999,                0.63951,                 1.3132,                 1.0187,                 1.1524,             0.00078103,             0.00078103,             0.00078103
                     92,                 1.3403,                 1.1159,                 1.1465,                0.83987,                0.81999,                0.90774,                0.68961,                 1.2686,                 1.0308,                  1.121,             0.00077737,             0.00077737,             0.00077737
                     93,                 1.5207,                 1.0641,                 1.1336,                0.83987,                0.81999,                0.90774,                0.68961,                 1.2686,                 1.0308,                  1.121,              0.0007737,              0.0007737,              0.0007737
                     94,                 1.3295,                 1.0967,                 1.1785,                0.84317,                0.84289,                0.90823,                0.71471,                 1.2145,                 1.0237,                 1.0996,             0.00077003,             0.00077003,             0.00077003
                     95,                 1.5394,                 1.0889,                 1.0944,                0.84317,                0.84289,                0.90823,                0.71471,                 1.2145,                 1.0237,                 1.0996,             0.00076637,             0.00076637,             0.00076637
                     96,                 1.4762,                 1.0724,                 1.1443,                0.87143,                0.85687,                0.92249,                0.72604,                 1.1728,                 1.0223,                 1.0852,              0.0007627,              0.0007627,              0.0007627
                     97,                 1.7612,                  1.149,                 1.0585,                0.87143,                0.85687,                0.92249,                0.72604,                 1.1728,                 1.0223,                 1.0852,             0.00075904,             0.00075904,             0.00075904
                     98,                 1.4161,                   1.07,                 1.1089,                0.88142,                0.85128,                0.92865,                  0.732,                 1.1496,                 1.0319,                 1.0849,             0.00075537,             0.00075537,             0.00075537
                     99,                 1.4332,                 1.1059,                 1.1091,                0.88142,                0.85128,                0.92865,                  0.732,                 1.1496,                 1.0319,                 1.0849,              0.0007517,              0.0007517,              0.0007517
                    100,                  1.354,                 1.0813,                  1.107,                0.87795,                 0.8431,                0.92146,                0.70852,                 1.1315,                 1.0341,                 1.0884,             0.00074804,             0.00074804,             0.00074804
                    101,                 1.3144,                 1.0538,                 1.0735,                0.87795,                 0.8431,                0.92146,                0.70852,                 1.1315,                 1.0341,                 1.0884,             0.00074437,             0.00074437,             0.00074437
                    102,                 1.4566,                 1.1827,                 1.2305,                0.90056,                0.80833,                 0.9187,                0.72079,                 1.1405,                 1.0501,                 1.0787,              0.0007407,              0.0007407,              0.0007407
                    103,                 1.2626,                0.99486,                 1.1547,                0.90056,                0.80833,                 0.9187,                0.72079,                 1.1405,                 1.0501,                 1.0787,             0.00073704,             0.00073704,             0.00073704
                    104,                 1.3249,                 1.0345,                 1.1484,                0.91133,                0.80448,                0.91405,                0.69915,                 1.1642,                 1.1039,                 1.0703,             0.00073337,             0.00073337,             0.00073337
                    105,                 1.3302,                 1.0762,                 1.0891,                0.91133,                0.80448,                0.91405,                0.69915,                 1.1642,                 1.1039,                 1.0703,              0.0007297,              0.0007297,              0.0007297
                    106,                 1.3588,                 1.0707,                 1.1268,                0.88862,                0.81372,                0.91573,                0.69442,                  1.149,                 1.1136,                 1.0565,             0.00072604,             0.00072604,             0.00072604
                    107,                 1.3792,                 1.0733,                 1.1294,                0.88862,                0.81372,                0.91573,                0.69442,                  1.149,                 1.1136,                 1.0565,             0.00072237,             0.00072237,             0.00072237
                    108,                 1.3302,                 1.0083,                 1.0885,                0.89745,                0.82518,                0.91627,                0.69413,                 1.1362,                 1.0625,                 1.0527,             0.00071871,             0.00071871,             0.00071871
                    109,                 1.4013,                 1.0475,                 1.1245,                0.89745,                0.82518,                0.91627,                0.69413,                 1.1362,                 1.0625,                 1.0527,             0.00071504,             0.00071504,             0.00071504
                    110,                 1.2642,                 1.0006,                 1.1241,                0.90131,                0.85291,                   0.92,                0.72187,                 1.1033,                0.96727,                 1.0548,             0.00071137,             0.00071137,             0.00071137
                    111,                 1.3418,                0.98098,                  1.107,                0.90131,                0.85291,                   0.92,                0.72187,                 1.1033,                0.96727,                 1.0548,             0.00070771,             0.00070771,             0.00070771
                    112,                  1.253,                 1.0816,                 1.1051,                0.87461,                 0.8697,                0.91468,                0.72389,                 1.0478,                 0.9213,                 1.0645,             0.00070404,             0.00070404,             0.00070404
                    113,                 1.1783,                  0.964,                 1.0909,                0.87461,                 0.8697,                0.91468,                0.72389,                 1.0478,                 0.9213,                 1.0645,             0.00070037,             0.00070037,             0.00070037
                    114,                 1.1525,                0.97213,                 1.1375,                0.94592,                0.81473,                 0.9188,                0.75187,                 1.0099,                0.89231,                 1.0682,             0.00069671,             0.00069671,             0.00069671
                    115,                 1.2335,                0.98684,                 1.0247,                0.94592,                0.81473,                 0.9188,                0.75187,                 1.0099,                0.89231,                 1.0682,             0.00069304,             0.00069304,             0.00069304
                    116,                 1.1626,                0.95798,                 1.1226,                 0.9408,                0.82286,                0.93076,                0.73208,                 1.0273,                 0.9069,                 1.0549,             0.00068938,             0.00068938,             0.00068938
                    117,                 1.2358,                0.96907,                 1.0462,                 0.9408,                0.82286,                0.93076,                0.73208,                 1.0273,                 0.9069,                 1.0549,             0.00068571,             0.00068571,             0.00068571
                    118,                 1.3505,                 1.0775,                  1.053,                0.94052,                0.82694,                0.93461,                0.74789,                 1.0161,                 0.9159,                 1.0352,             0.00068204,             0.00068204,             0.00068204
                    119,                 1.1926,                0.96176,                 1.0514,                0.94052,                0.82694,                0.93461,                0.74789,                 1.0161,                 0.9159,                 1.0352,             0.00067838,             0.00067838,             0.00067838
                    120,                 1.1736,                0.97364,                 1.0879,                0.91435,                0.85783,                0.94749,                0.77489,                 0.9986,                0.88565,                 1.0285,             0.00067471,             0.00067471,             0.00067471
