                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4719,                 1.1409,                 1.1903,                 0.5995,                0.72688,                0.70405,                0.50613,                  1.359,                  1.207,                 1.1842,              0.0010061,              0.0010061,              0.0010061
                     64,                 1.5944,                 1.2426,                 1.2818,                0.66044,                0.68495,                0.74568,                0.54606,                 1.2562,                  1.152,                 1.1591,              0.0010044,              0.0010044,              0.0010044
                     65,                 1.5783,                 1.2049,                 1.1547,                0.66044,                0.68495,                0.74568,                0.54606,                 1.2562,                  1.152,                 1.1591,              0.0010027,              0.0010027,              0.0010027
                     66,                 1.6355,                 1.1761,                  1.132,                0.73248,                 0.7157,                0.77634,                0.58962,                 1.2143,                 1.1024,                 1.1495,               0.001001,               0.001001,               0.001001
                     67,                 1.4662,                 1.1985,                 1.1487,                0.73248,                 0.7157,                0.77634,                0.58962,                 1.2143,                 1.1024,                 1.1495,             0.00099932,             0.00099932,             0.00099932
                     68,                 1.4751,                 1.1542,                 1.1905,                0.71972,                0.83616,                0.81072,                0.61898,                 1.1755,                 1.1203,                 1.1367,             0.00099763,             0.00099763,             0.00099763
                     69,                 1.4277,                 1.1869,                 1.1227,                0.71972,                0.83616,                0.81072,                0.61898,                 1.1755,                 1.1203,                 1.1367,             0.00099593,             0.00099593,             0.00099593
                     70,                 1.4762,                 1.2148,                 1.1832,                0.71483,                 0.7501,                0.80573,                0.60721,                 1.2814,                 1.2027,                 1.1376,             0.00099424,             0.00099424,             0.00099424
                     71,                 1.4335,                 1.0869,                  1.156,                0.71483,                 0.7501,                0.80573,                0.60721,                 1.2814,                 1.2027,                 1.1376,             0.00099255,             0.00099255,             0.00099255
                     72,                 1.5797,                 1.2333,                 1.1352,                0.73902,                 0.7314,                 0.8061,                0.59695,                 1.3579,                 1.2161,                 1.1422,             0.00099086,             0.00099086,             0.00099086
                     73,                  1.474,                 1.2086,                 1.1474,                0.73902,                 0.7314,                 0.8061,                0.59695,                 1.3579,                 1.2161,                 1.1422,             0.00098917,             0.00098917,             0.00098917
                     74,                 1.4073,                 1.2363,                 1.2235,                0.74155,                0.73224,                0.84634,                0.60761,                 1.2602,                 1.1523,                 1.1261,             0.00098747,             0.00098747,             0.00098747
                     75,                 1.4108,                 1.0789,                 1.1521,                0.74155,                0.73224,                0.84634,                0.60761,                 1.2602,                 1.1523,                 1.1261,             0.00098578,             0.00098578,             0.00098578
                     76,                 1.4195,                 1.1453,                 1.1741,                0.74719,                0.87114,                0.90521,                0.63472,                 1.2834,                 1.0961,                 1.1244,             0.00098409,             0.00098409,             0.00098409
                     77,                 1.6438,                 1.1696,                 1.1292,                0.74719,                0.87114,                0.90521,                0.63472,                 1.2834,                 1.0961,                 1.1244,              0.0009824,              0.0009824,              0.0009824
                     78,                 1.4309,                 1.0804,                  1.173,                0.76695,                0.89995,                0.91416,                0.64046,                 1.2844,                 1.0799,                 1.1201,             0.00098071,             0.00098071,             0.00098071
                     79,                 1.3246,                 1.1243,                 1.2146,                0.76695,                0.89995,                0.91416,                0.64046,                 1.2844,                 1.0799,                 1.1201,             0.00097901,             0.00097901,             0.00097901
                     80,                 1.2987,                 1.0394,                 1.1325,                0.77308,                 0.9248,                0.91409,                0.68401,                 1.2046,                 1.0853,                 1.1152,             0.00097732,             0.00097732,             0.00097732
                     81,                 1.3789,                 1.1018,                 1.1266,                0.77308,                 0.9248,                0.91409,                0.68401,                 1.2046,                 1.0853,                 1.1152,             0.00097563,             0.00097563,             0.00097563
                     82,                 1.3673,                 1.1521,                 1.1959,                0.77638,                0.86876,                0.89086,                0.67394,                 1.2881,                 1.0828,                 1.1311,             0.00097394,             0.00097394,             0.00097394
                     83,                 1.3209,                  1.018,                 1.1716,                0.77638,                0.86876,                0.89086,                0.67394,                 1.2881,                 1.0828,                 1.1311,             0.00097224,             0.00097224,             0.00097224
                     84,                 1.2378,                 1.0057,                 1.1354,                0.77975,                0.86248,                0.89723,                 0.6571,                 1.3222,                 1.1238,                 1.1558,             0.00097055,             0.00097055,             0.00097055
                     85,                 1.4439,                 1.0546,                 1.1242,                0.77975,                0.86248,                0.89723,                 0.6571,                 1.3222,                 1.1238,                 1.1558,             0.00096886,             0.00096886,             0.00096886
                     86,                 1.3426,                 1.1305,                 1.1796,                 0.7839,                0.86655,                0.90684,                0.66331,                 1.2689,                 1.1197,                  1.149,             0.00096717,             0.00096717,             0.00096717
                     87,                  1.419,                 1.0818,                 1.1268,                 0.7839,                0.86655,                0.90684,                0.66331,                 1.2689,                 1.1197,                  1.149,             0.00096548,             0.00096548,             0.00096548
                     88,                 1.4217,                 1.1301,                 1.1623,                0.79371,                0.91891,                0.91251,                 0.6883,                  1.165,                  1.017,                 1.1106,             0.00096378,             0.00096378,             0.00096378
                     89,                 1.3881,                 1.0934,                 1.1358,                0.79371,                0.91891,                0.91251,                 0.6883,                  1.165,                  1.017,                 1.1106,             0.00096209,             0.00096209,             0.00096209
                     90,                 1.2642,                0.98497,                  1.171,                0.95538,                0.77683,                0.91077,                0.68536,                 1.1919,                 1.0328,                 1.1168,              0.0009604,              0.0009604,              0.0009604
                     91,                 1.3214,                 1.0642,                 1.1265,                0.95538,                0.77683,                0.91077,                0.68536,                 1.1919,                 1.0328,                 1.1168,             0.00095871,             0.00095871,             0.00095871
                     92,                  1.287,                 1.0322,                 1.1989,                0.81686,                0.82223,                 0.9056,                0.63866,                 1.2693,                 1.0372,                 1.1151,             0.00095702,             0.00095702,             0.00095702
                     93,                 1.4243,                  1.097,                 1.1207,                0.81686,                0.82223,                 0.9056,                0.63866,                 1.2693,                 1.0372,                 1.1151,             0.00095532,             0.00095532,             0.00095532
                     94,                 1.3953,                 1.0635,                 1.1666,                 0.9233,                0.76576,                0.90826,                0.65961,                 1.2002,                 1.0118,                 1.1234,             0.00095363,             0.00095363,             0.00095363
                     95,                  1.528,                 1.0919,                 1.1164,                 0.9233,                0.76576,                0.90826,                0.65961,                 1.2002,                 1.0118,                 1.1234,             0.00095194,             0.00095194,             0.00095194
                     96,                 1.3702,                 1.0522,                 1.1639,                0.75298,                0.93229,                0.90912,                0.64726,                 1.1641,                0.99659,                  1.173,             0.00095025,             0.00095025,             0.00095025
                     97,                 1.3211,                 1.0168,                 1.1722,                0.75298,                0.93229,                0.90912,                0.64726,                 1.1641,                0.99659,                  1.173,             0.00094855,             0.00094855,             0.00094855
                     98,                 1.2568,                0.98488,                 1.1349,                0.86974,                0.86071,                0.92546,                0.70139,                 1.1521,                0.95961,                 1.1404,             0.00094686,             0.00094686,             0.00094686
                     99,                 1.3461,                 1.0127,                  1.098,                0.86974,                0.86071,                0.92546,                0.70139,                 1.1521,                0.95961,                 1.1404,             0.00094517,             0.00094517,             0.00094517
                    100,                 1.2004,                0.97082,                 1.1138,                0.79581,                0.92266,                0.93784,                0.71677,                  1.185,                0.98464,                 1.1336,             0.00094348,             0.00094348,             0.00094348
                    101,                 1.3606,                 1.0698,                 1.1148,                0.79581,                0.92266,                0.93784,                0.71677,                  1.185,                0.98464,                 1.1336,             0.00094179,             0.00094179,             0.00094179
                    102,                 1.4054,                 1.1269,                  1.105,                 0.7532,                0.91078,                0.93473,                0.69244,                 1.2925,                 1.0004,                 1.1456,             0.00094009,             0.00094009,             0.00094009
                    103,                 1.2232,                 1.0768,                 1.1696,                 0.7532,                0.91078,                0.93473,                0.69244,                 1.2925,                 1.0004,                 1.1456,              0.0009384,              0.0009384,              0.0009384
                    104,                  1.353,                 1.1171,                 1.1007,                0.81491,                0.92175,                0.95272,                0.71243,                 1.2572,                0.88417,                 1.1342,             0.00093671,             0.00093671,             0.00093671
                    105,                 1.1694,                0.96091,                 1.1341,                0.81491,                0.92175,                0.95272,                0.71243,                 1.2572,                0.88417,                 1.1342,             0.00093502,             0.00093502,             0.00093502
                    106,                 1.2221,                0.99201,                 1.1303,                0.91591,                0.86973,                0.96349,                0.71538,                 1.1246,                0.81578,                 1.1092,             0.00093333,             0.00093333,             0.00093333
                    107,                 1.2657,                 1.0471,                 1.1779,                0.91591,                0.86973,                0.96349,                0.71538,                 1.1246,                0.81578,                 1.1092,             0.00093163,             0.00093163,             0.00093163
                    108,                  1.509,                 1.0734,                 1.1003,                 0.8687,                 0.9095,                0.95985,                0.71184,                 1.0674,                0.88695,                  1.067,             0.00092994,             0.00092994,             0.00092994
                    109,                 1.2517,                 1.0035,                 1.1132,                 0.8687,                 0.9095,                0.95985,                0.71184,                 1.0674,                0.88695,                  1.067,             0.00092825,             0.00092825,             0.00092825
                    110,                 1.3196,                 1.0055,                 1.1076,                0.86646,                0.91042,                0.96016,                0.71162,                 1.0305,                0.88765,                 1.0687,             0.00092656,             0.00092656,             0.00092656
                    111,                 1.1558,                0.90727,                 1.1214,                0.86646,                0.91042,                0.96016,                0.71162,                 1.0305,                0.88765,                 1.0687,             0.00092486,             0.00092486,             0.00092486
                    112,                 1.3631,                 1.0644,                 1.1477,                0.87152,                0.91256,                0.97059,                0.69812,                 1.1166,                0.86466,                  1.109,             0.00092317,             0.00092317,             0.00092317
                    113,                 1.3209,                 1.0076,                 1.1262,                0.87152,                0.91256,                0.97059,                0.69812,                 1.1166,                0.86466,                  1.109,             0.00092148,             0.00092148,             0.00092148
                    114,                 1.2124,                0.93477,                 1.1475,                0.90839,                0.84629,                0.95844,                0.71394,                 1.1131,                0.91505,                 1.0804,             0.00091979,             0.00091979,             0.00091979
